,price,order_num,product_info
0,¥158.00,614人付款,真皮高级感包包双肩包女2020新款休闲简约百搭书包女韩版时尚背包
1,¥59.00,4315人付款,双肩包女2020新款潮韩版百搭时尚软皮女士小背包女学生书包女包包
2,¥189.00,1056人付款,朱尔防盗双肩包女2020新款时尚牛津布女士背包百搭书包帆布女包包
3,¥238.00,188人付款,甜甜圈书包2020年新款双肩包女韩版百搭高中大学生大容量电脑背包
4,¥2888.00,3人付款,GROTTO个乐BIGPEACE系列意大利进口羊皮女士双肩包商场同款
5,¥899.00,43人付款,【买1送1】Fion/菲安妮大牌双肩包女 2020新款印花背包旅行书包
6,¥329.00,237人付款,阿迪达斯官网 adidas CL AOP 男女训练运动双肩背包FM6896 FM6898
7,¥539.00,183人付款,FILA FUSION斐乐 情侣款双肩背包 2020春季新款磨砂潮牌背包男女
8,¥1920.00,TORY BURCH 汤丽柏琦PERRY中号尼龙布翻盖设计双肩包女包 58403,toryburch官方旗舰店
9,¥3360.00,64人付款,[超迷你背包]韩国代购MCM专柜正品20年STARK女包斜挎两用双肩包
10,¥739.00,13人付款,金利来女包2020春双肩包潮牌真皮时尚潮流牛皮小背包皮质两用小包
11,¥399.00,184人付款,阿迪达斯官网 adidas 男女运动型格双肩背包FQ5264 FI7969
12,¥399.00,52人付款,金利来女包2020新款小背包女双肩时尚休闲旅游小包百搭女式包包潮
13,¥690.00,14人付款,Satchi沙驰PVC女包双肩包休闲印花背包经典小巧 旅行包大学生
14,¥569.00,34人付款,FILA FUSION 斐乐 女子背包 夏季新款潮流时尚百搭女包背包
15,¥1280.00,44人付款,Samsonite/新秀丽双肩包14寸电脑包女士通勤时尚轻便实用背包 HE7
16,¥319.00,27人付款,PUMA彪马官方正品 新款女子双肩背包 PRIME TIME MINIME 076984
17,¥699.90,6人付款,迪卡侬登山包户外双肩男女大容量越野休闲轻量旅行多功能背包FOR3
18,¥989.00,1人付款,Columbia哥伦比亚户外20春夏新品男女通用双肩背包UU0115
19,¥4499.00,12人付款,【直营】MCMStark超迷你可拆卸肩带单肩包双肩包铆钉背包女包包
20,¥3000.00,2人付款,kate spade ks amelia 迷你闪粉桃心含插袋女士羊皮双肩包
21,¥249.90,23人付款,迪卡侬旗舰店新款大容量双肩背包户外运动防水书包休闲男女TRD
22,¥970.00,259人付款,Gaston Luga瑞典潮牌背包男双肩包女大容量旅行包休闲书包电脑包
23,¥1079.00,4人付款,Columbia哥伦比亚户外20春夏新品男女通用32L双肩背包UU0095
24,¥2200.00,2人付款,kate spade ks 大号女士实用休闲大容量都市运动双肩包
25,¥339.00,9人付款,URBAN REVIVO2020春夏季新品女士配件简约实用双肩包AA10TB5N2001
26,¥3200.00,TORY BURCH 汤丽柏琦 PERRY 中号 尼龙布 翻盖双肩包女包 58041,toryburch官方旗舰店
27,¥15290.00,0人付款,FENDI/芬迪 棕色个性字母LOGO贴片女包小号双肩包背包
28,¥4699.00,7人付款,【直营】MCM男女PVC印花侧钉STARK双肩背包时尚小包包MMK6SVE37
29,¥6100.00,MCM STARK 经典侧边铆钉小中号双肩包,mcm官方旗舰店
30,¥4090.00,16人付款,TUMI/途明Voyageur系列时尚撞色尼龙女士Rivas电脑双肩包
31,¥2988.00,4人付款,GROTTO个乐新款猫神系列真皮女双肩轻便旅游简约时尚背包
32,¥949.00,5人付款,SATCHI/沙驰女包新款PVC经典印花撞色女双肩包潮流皇冠锁扣女背包
33,¥5669.00,0人付款,MCM男女同款 铆钉STARK系列双肩包 中号 MMK6SVE38 王府井百货
34,¥3360.00,13人付款,e家 日本专柜正品代购三宅一生*ISSEY MIYAK 几何双肩背包男女款
35,¥5185.00,0人付款,MCM男女同款双肩背包 MMK7AVE99 王府井百货
36,¥598.00,8人付款,FION/菲安妮双肩包女2020新款 儿童小背包小众品牌动物包老虎包包
37,¥139.00,24人付款,阿迪达斯双肩背包男包女包2020春季新款运动电脑包学生书包FQ5261
38,¥488.00,21人付款,李宁CF溯系列X敦煌博物馆·拓双肩包男包女包2020新款运动包
39,¥288.00,3人付款,【新品】JanSport杰斯伯双肩包女大学生书包男休闲背包4QUT04S
40,¥799.00,13人付款,VH包包女包2020新款牛皮复古印花刺绣方包时尚单肩包高级感斜挎包
41,¥1899.00,6人付款,【直营】COACH蔻驰双肩包女士PVC帆布皮革拼图包包百搭32715
42,¥499.00,1人付款,阿迪达斯三叶草双肩包女背包2020Fiorucci合作联名款手提包FL9638
43,¥2890.00,29人付款,TUMI/途明Voyageur系列时尚休闲女士轻便Dori双肩背包
44,¥319.00,20人付款,软牛皮双肩包女包真皮2020新款头层牛皮韩版百搭正品劳斯帅特背包
45,¥179.00,133人付款,双肩包女2020新款牛津布背包商务休闲电脑包大容量帆布旅行包书包
46,¥199.00,262人付款,博牌双肩包女迷你小包2020新款夏韩版潮流网红背包ins百搭书包女
