,price,order_num,product_info
0,¥69.00,62人付款,网红抖音微爷同款包包女2020流行时尚帆布女包百搭大包斜挎包2019
1,¥189.00,1056人付款,朱尔防盗双肩包女2020新款时尚牛津布女士背包百搭书包帆布女包包
2,¥118.00,1420人付款,包包女包新款2019潮百搭斜挎包女大气手提包2020时尚大容量单肩包
3,¥269.00,84人付款,拉菲斯汀2020新款今年流行的单肩斜挎圆饼包帆布手拎手提小圆包女
4,¥1350.00,TORY BURCH 汤丽柏琦GEMINI LINK 迷你包帆布斜挎女包相机包57743,toryburch官方旗舰店
5,¥1280.00,234人付款,香港直邮pinko燕子包2019秋冬新款复古柳丁单肩斜跨女包正品代购
6,¥238.00,151人付款,大容量包包女士通勤帆布子母包简约大气尼龙牛津布单肩大包托特包
7,¥1099.00,16人付款,COACH 蔻驰 女士单肩手提斜挎包F29958 王府井百货
8,¥1100.00,LONGCHAMP珑骧 大号长柄Le Pliage Club女士购物袋饺子包70周年款,longchamp珑骧官方旗舰店
9,¥299.00,11人付款,简佰格大包包2020新款潮单肩包上班帆布包大容量手提托特包女百搭
10,¥13400.00,5人付款,Gucci/古驰女包2019新款Padlock系列小号GG单肩包26*18*10
11,¥970.00,259人付款,Gaston Luga瑞典潮牌背包男双肩包女大容量旅行包休闲书包电脑包
12,¥689.00,13人付款,kipling女包迷你帆布包20新款时尚小圆包手提包单肩包斜跨包|FUN
13,¥15290.00,0人付款,FENDI/芬迪 棕色个性字母LOGO贴片女包小号双肩包背包
14,¥749.00,23人付款,kipling女包轻便帆布包20新款时尚简约手提包单肩包斜挎包|KEEFE
15,¥4190.00,Bally/巴利2020新款SALMAH.CB女士经典老花斜挎单肩包6232521,bally巴利官方旗舰店
16,¥299.00,3人付款,简佰格包包女包新款2020春夏洋气单肩斜挎包大容量托特包手提包女
17,¥229.00,132人付款,阿迪达斯官网adidas 男女训练运动挎包GC9064 GC9065
18,¥2700.00,23人付款,日本正品代购三宅一生ISSEYMIYAKE拉链款S包单肩斜挎手提包男女款
19,¥1899.00,6人付款,【直营】COACH蔻驰双肩包女士PVC帆布皮革拼图包包百搭32715
20,¥2370.00,TORY BURCH 汤丽柏琦 PERRY 旅行系列 中号 帆布托特包女包 64486,toryburch官方旗舰店
21,¥998.00,7人付款,COACH/蔻驰包包奥莱款女士迷你涂层帆布配皮单肩斜挎相机包 91677
22,¥2380.00,36人付款,COACH/蔻驰女包山茶花系列PARKER新款帆布牛皮单肩斜挎包 30585
23,¥699.00,2人付款,Longchamp/珑骧小号饺子包女包手提包 折叠包短柄 1621089 王府井
24,¥3498.00,3人付款,COACH/蔻驰专柜款女士涂层帆布光滑皮革时尚单肩斜挎包包女 92308
25,¥99.00,241人付款,伊米妮2020女大号时尚大容量艺术学生上课日系白色单肩手提帆布包
26,¥6280.00,47人付款,现货 Dior迪奥Oblique老花腰包saddle马鞍小号woc斜挎包女包
27,¥79.90,27人付款,热风包包2020年夏季新款女士小型帆布单肩斜挎包B87W0109
28,¥2080.00,4人付款,COACH/蔻驰女包双肩包Parker16小号多功能帆布牛皮老花背包 69650
29,¥6360.00,6人付款,Gucci/古驰女包2019新款Dionysus超迷你酒神单肩包 476432
30,¥99.90,14人付款,热风包包2020年春季新款女士帆布扑克牌斜挎包B87W0102
31,¥10999.00,0人付款,【直营】Prada 普拉达 女士Monochrome 小号牛皮杀手包1BA156
32,¥298.00,217人付款,帆布公文包女大容量尼龙牛津上班包包通勤职业商务女士斜挎手提包
33,¥399.00,588人付款,CHARLES＆KEITH兔耳朵包CK2-50780523帆布拼接单肩包斜挎女包婚包
34,¥149.00,342人付款,不莱玫帆布斜挎包女学生可爱手提包百搭ins森系包包单肩小方包春
35,¥498.00,415人付款,香港正品小包包女2020新款韩版个性百搭小方包真皮单肩斜挎手提包
36,¥3980.00,25人付款,现货lv路易威登toiletry pouch老花26大号洗漱包手拿包女包M47542
37,¥4950.00,COACH/蔻驰女士经典COACH徽章FIELD 40号托特包,coach蔻驰官方旗舰店
38,¥989.00,0人付款,【直营】COACH蔻驰托特包PVC印花手提肩背女包包大容量百搭F58292
39,¥258.00,1243人付款,电视剧款JanSport杰斯伯双肩包包时尚潮女书包背包男大容量电脑包
40,¥2288.00,49人付款,COACH蔻驰女包专柜新款老花马车独角兽79365帆布斜跨托特包79366
41,¥628.00,74人付款,Herschel Retreat经典色时尚潮流男女双肩包书包背包潮牌10066
42,¥589.00,503人付款,双肩包男士背包商务休闲旅行背包防盗旅游包女大中学生书包电脑包
43,¥228.00,869人付款,网红包包2020新款潮时尚迷你小圆包洋气百搭圆饼斜挎包包女包小包
44,¥29.80,4人付款,简约学生包饭盒手提包迷你包帆布环保袋饭盒包日式手拎纯色diy包
45,¥24.90,2311人付款,ins文艺帆布包学生单肩包手提包chic帆布袋韩国ulzzang潮女包大包
46,¥29.90,331人付款,帆布女包中大包休闲ins大容量简约单肩包手提布包购物袋韩版托特
47,¥4580.00,14人付款,Gucci/古奇Ophidia帆布双G印花mini圆饼包拉链链条包单肩斜挎女包
48,¥5380.00,35人付款,Gucci古奇 Ophidia涂层帆布GG链条手拿包小号单肩斜挎女包 503877
49,¥199.00,1081人付款,瑞士军士刀双肩包男大容量休闲商务旅行电脑背包男士初中学生书包
50,¥189.00,599人付款,Dickies潮牌印花Logo双肩包校园大学生男女情侣纯色背包正品C201
51,¥189.00,1056人付款,朱尔防盗双肩包女2020新款时尚牛津布女士背包百搭书包帆布女包包
52,¥368.00,64人付款,Herschel Classic 超大号旅游时尚潮流双肩背包男女书包10492
53,¥699.00,21人付款,kipling女士帆布背包2020年新款时尚简约休闲潮流书包双肩包|ROSE
54,¥649.00,13人付款,kipling女包大容量轻便帆布包时尚潮流休闲单肩包手提包|MYHIPHRY
55,¥3080.00,42人付款,COACH/蔻驰山茶花女包系列PARKER新款帆布牛皮单肩斜挎包 30585
