,price,order_num,product_info
0,¥299.00,762人付款,CIGG真皮女包2020春夏新款单肩鳄鱼纹手提托特大头层牛皮女士包包
1,¥299.00,ZARA新款 女包 迪士尼米老鼠©印花软质斜挎包 16869510040,zara官方旗舰店
2,¥249.00,2041人付款,CHARLES&KEITH女包CK2-50270344翻盖链条女士手提单肩包
3,¥3200.00,106人付款,[子母双面购物袋]e家韩国MCM专柜正品代购20年单肩手提女包托特包
4,¥799.00,44人付款,金利来女包简约时尚手提包包女2020新款 斜挎包大容量单肩包百搭
5,¥3680.00,68人付款,goyard/戈雅正品包包代购狗牙购物袋 子母包托特包经典女包手提包
6,¥1180.00,6人付款,Samantha Vega包包女包新款2020 斜挎包单肩百搭子母包2010190161
7,¥1180.00,1人付款,Samantha Vega包包女包新款2019 斜挎包单肩百搭子母包1920175711
8,¥2198.00,4人付款,DISSONA迪桑娜维西亚女包真皮手提包 2020新款包包时尚复古斜挎包
9,¥2598.00,7人付款,DISSONA迪桑娜女包普拉亚单肩包 2020新款水桶包真皮宽肩带包包
10,¥2588.00,10人付款,GROTTO个乐黄糊糊系列女士托特包意大利植鞣山羊皮明星同款
11,¥539.00,288人付款,CHARLES＆KEITH2020春新品CK2-30781152-5简约吊牌饰手提单肩包女
12,¥2588.00,8人付款,GROTTO个乐意大利手鞣牛皮女士宽肩带斜挎手提包商场同款
13,¥58.00,7500+人付款,小ck女包春新款潮2019时尚单肩斜挎包2020春夏小包百搭洋气包包女
14,¥44.90,5500+人付款,优哈女包包2020春款少女包包时尚手提包流行百搭女士单肩斜挎大包
15,¥669.00,5人付款,金利来女包包斜挎包单肩ins超火名牌手提手拎包真皮百搭女式小包
16,¥499.00,342人付款,CHARLES＆KEITH2020春季新品CK2-20781177-2金属扣饰手提单肩包女
17,¥7900.00,MCM2020春夏新品 PATRICIA 女士铆钉迷你斜挎包,mcm官方旗舰店
18,¥5100.00,MCM SHOPPER VISETOS 女士中号双面购物袋手提包菜篮子,mcm官方旗舰店
19,¥1699.00,400人付款,【直营】COACH蔻驰Parker18牛皮链条单肩斜挎包女包35566 29389
20,¥2020.00,159人付款,日本专柜正品代购三宅一生菱格女包6格ISSEYMIYAKE六格单肩手提包
21,¥898.00,14人付款,Fion/菲安妮小黄人水桶包 可爱动物包时尚潮流圆筒包2020新款女包
22,¥399.00,ZARA 新款 女包 粉红色串珠流苏人造珍珠单肩斜挎包 16616510050,zara官方旗舰店
